newsroom,img,tweet_url
WBUR,wbur.jpg,https://twitter.com/SachaPfeiffer/status/482206910012465152
Boston.com,bostondotcom.jpg,https://twitter.com/zuriberry/status/482194747143225344
Huffington Post,huffpocode.jpg,https://twitter.com/HuffPostCode/status/482194170539692032
ProPublica,propublica.jpg,https://twitter.com/lenagroeger/status/482195462787964928
Boston Globe,bostonglobe1.jpg,https://twitter.com/MeredithGoldste/status/482201137760567297
Huffington Post,huffpo.jpg,https://twitter.com/HuffingtonPost/status/482192882669867008
NPR,npr3.jpg,https://twitter.com/Steph_Clifford/status/482199057520414720
Senate Press Gallery,senatepress.jpg,https://twitter.com/Jasper_Craven/status/482195189377679360
Boston Globe,bostonglobe.jpg,https://twitter.com/lilsarg/status/482197012087988225
IJNet,ijnet.jpg,https://twitter.com/maits/status/482199574077927424
NPR,npr4.jpg,https://twitter.com/DavidSweeneyNPR/status/482201845214236672
Texas Tribune,tt.jpg,https://twitter.com/DanHillReports/status/482198774878449666/photo/1
CNN,cnndigital.jpg,https://twitter.com/GannonCNN/status/482202500796129281
Mediabistro,mediabistro.jpg,https://twitter.com/reity/status/482200619043008512/photo/1
NPR,nprinterns.jpg,https://twitter.com/NPRinterns/status/482193730964045824
NPR,waitwait.jpg,https://twitter.com/waitwait/status/482205161981374466
CNN,cnn.jpg,https://twitter.com/GeorgeHowellCNN/status/482200276104134657
National Journal,nationaljournal.jpg,https://twitter.com/sestamm/status/482190063145877506
New York Times,nytsports.jpg,https://twitter.com/samdolnick/status/482197674834558977
Washington Post,wapo.jpg,https://twitter.com/jmckellogg/status/482192756878499840
Google I/O,google.jpg,https://twitter.com/Recode/status/482201657477173248
NPR,npr1.jpg,https://twitter.com/idavar/status/482192072297152514
Politico,politico.jpg,https://twitter.com/kimkingsley/status/482194620663599104
Washington Post,wonkblog.jpg,https://twitter.com/b_fung/status/482195254414557186
Guardian US,guardian.jpg,https://twitter.com/KaylaEpstein/status/482203916059553792
AP Sports Editors,apsports.jpg,https://twitter.com/LATimesjames/status/482197761123569664
Fox News,fox.jpg,https://twitter.com/adamhousley/status/482192734623514624
Google I/O,google1.jpg,https://twitter.com/nateog/status/482208387178827776
PBS,pbs.jpg,https://twitter.com/PBSinterns/status/482206491953614850
PBS Frontline,frontline.jpg,https://twitter.com/frontlinepbs/status/482209160545570816
WNYC,wnyc.jpg,https://twitter.com/TheSporkful/status/482198169246502912
WNYC,thetakeaway.jpg,https://twitter.com/TheTakeaway/status/482198259235319808
New York Magazine,nymag.jpg,https://twitter.com/gloddy/status/482215118722576384
Forbes,forbes.jpg,https://twitter.com/andreaitis/status/482194926592352256/photo/1
Public Integrity,pi.jpg,https://twitter.com/mrochabrun/status/482192955659141121
Huffington Post,huffpo1.jpg,https://twitter.com/ariannahuff/statuses/482211276651651072
ABC Houston,abchouston.jpg,https://twitter.com/PoojaABC13/statuses/482195203160150017
Huffington Post,huffpolive.jpg,https://twitter.com/CaroMt/statuses/482194001160720385
NowThis News,nowthisnews.jpg,https://twitter.com/nowthisnews/statuses/482201121726152704
Buzzfeed,buzzfeed.jpg,https://twitter.com/beardenthusiast/statuses/482192194061619200
CBS Birmingham,cbsbirm.jpg,https://twitter.com/chandatemple/statuses/482203467658715138
Daily Press,dailypress.jpg,https://twitter.com/marisaporto/status/482194895546122240
Springfield News-Leader,newsleader.jpg,http://www.news-leader.com/
The News-Press,newspress2.jpg,http://www.news-press.com/
The News-Press,newspress3.jpg,http://www.news-press.com/
